match_date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,goal_diff,total_goals,home_result,is_competitive,home_points,away_points,match_id,source,source_match_id,source_competition_id,source_competition_name,source_generated_at_utc
1996-02-14,Australia,Japan,3,0,Friendly,Melbourne,Australia,False,3.0,3.0,home,False,3.0,0.0,1996-02-14::Australia::Japan,historical_csv,,,,
1996-02-14,Bolivia,Paraguay,4,1,Friendly,Sucre,Bolivia,False,3.0,5.0,home,False,3.0,0.0,1996-02-14::Bolivia::Paraguay,historical_csv,,,,
1996-02-14,Chile,Peru,4,0,Friendly,Coquimbo,Chile,False,4.0,4.0,home,False,3.0,0.0,1996-02-14::Chile::Peru,historical_csv,,,,
1996-02-14,Turkey,Belarus,3,2,Friendly,İzmir,Turkey,False,1.0,5.0,home,False,3.0,0.0,1996-02-14::Turkey::Belarus,historical_csv,,,,
1996-02-16,Azerbaijan,Estonia,0,0,Friendly,Larnaca,Cyprus,True,0.0,0.0,draw,False,1.0,1.0,1996-02-16::Azerbaijan::Estonia,historical_csv,,,,
1996-02-16,Oman,Ecuador,0,2,Friendly,Doha,Qatar,True,-2.0,2.0,away,False,0.0,3.0,1996-02-16::Oman::Ecuador,historical_csv,,,,
1996-02-16,Thailand,Finland,5,2,King's Cup,Bangkok,Thailand,False,3.0,7.0,home,True,3.0,0.0,1996-02-16::Thailand::Finland,historical_csv,,,,
1996-02-18,Qatar,Ecuador,1,1,Friendly,Doha,Qatar,False,0.0,2.0,draw,False,1.0,1.0,1996-02-18::Qatar::Ecuador,historical_csv,,,,
1996-02-19,Japan,Poland,5,0,Lunar New Year Cup,So Kon Po,Hong Kong,True,5.0,5.0,home,True,3.0,0.0,1996-02-19::Japan::Poland,historical_csv,,,,
1996-02-20,Cyprus,Estonia,1,0,Friendly,Limassol,Cyprus,False,1.0,1.0,home,False,3.0,0.0,1996-02-20::Cyprus::Estonia,historical_csv,,,,
1996-02-21,France,Greece,3,1,Friendly,Nîmes,France,False,2.0,4.0,home,False,3.0,0.0,1996-02-21::France::Greece,historical_csv,,,,
1996-02-21,Israel,Lithuania,4,2,Friendly,Haifa,Israel,False,2.0,6.0,home,False,3.0,0.0,1996-02-21::Israel::Lithuania,historical_csv,,,,
1996-02-21,Portugal,Germany,1,2,Friendly,Porto,Portugal,False,-1.0,3.0,away,False,0.0,3.0,1996-02-21::Portugal::Germany,historical_csv,,,,
1996-02-22,Japan,Sweden,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,0.0,2.0,draw,True,1.0,1.0,1996-02-22::Japan::Sweden,historical_csv,,,,
1996-02-23,Kuwait,Ecuador,0,3,Friendly,Kuwait City,Kuwait,False,-3.0,3.0,away,False,0.0,3.0,1996-02-23::Kuwait::Ecuador,historical_csv,,,,
1996-02-23,Thailand,Indonesia,4,1,Friendly,Bangkok,Thailand,False,3.0,5.0,home,False,3.0,0.0,1996-02-23::Thailand::Indonesia,historical_csv,,,,
1996-02-24,Estonia,Faroe Islands,2,2,Friendly,Púla,Cyprus,True,0.0,4.0,draw,False,1.0,1.0,1996-02-24::Estonia::Faroe Islands,historical_csv,,,,
1996-02-24,Kuwait,Oman,1,0,Friendly,Kuwait City,Kuwait,False,1.0,1.0,home,False,3.0,0.0,1996-02-24::Kuwait::Oman,historical_csv,,,,
1996-02-25,Australia,Sweden,0,2,Friendly,Brisbane,Australia,False,-2.0,2.0,away,False,0.0,3.0,1996-02-25::Australia::Sweden,historical_csv,,,,
1996-02-25,Qatar,Ecuador,1,2,Friendly,Doha,Qatar,False,-1.0,3.0,away,False,0.0,3.0,1996-02-25::Qatar::Ecuador,historical_csv,,,,
1996-02-27,Azerbaijan,Faroe Islands,3,0,Friendly,Larnaca,Cyprus,True,3.0,3.0,home,False,3.0,0.0,1996-02-27::Azerbaijan::Faroe Islands,historical_csv,,,,
1996-02-28,Australia,Sweden,0,0,Friendly,Sydney,Australia,False,0.0,0.0,draw,False,1.0,1.0,1996-02-28::Australia::Sweden,historical_csv,,,,
1996-02-28,Croatia,Poland,2,1,Friendly,Rijeka,Croatia,False,1.0,3.0,home,False,3.0,0.0,1996-02-28::Croatia::Poland,historical_csv,,,,
1996-03-02,Malaysia,Indonesia,1,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,0.0,2.0,draw,True,1.0,1.0,1996-03-02::Malaysia::Indonesia,historical_csv,,,,
1996-03-02,Oman,Kuwait,0,3,Friendly,Muscat,Oman,False,-3.0,3.0,away,False,0.0,3.0,1996-03-02::Oman::Kuwait,historical_csv,,,,
1996-03-03,Jamaica,Guatemala,2,0,Friendly,Kingston,Jamaica,False,2.0,2.0,home,False,3.0,0.0,1996-03-03::Jamaica::Guatemala,historical_csv,,,,
1996-03-04,Indonesia,India,7,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True,6.0,8.0,home,True,3.0,0.0,1996-03-04::Indonesia::India,historical_csv,,,,
1996-03-05,Syria,Kuwait,0,2,Friendly,Damascus,Syria,False,-2.0,2.0,away,False,0.0,3.0,1996-03-05::Syria::Kuwait,historical_csv,,,,
1996-03-06,Colombia,Honduras,2,1,Friendly,Miami,United States,True,1.0,3.0,home,False,3.0,0.0,1996-03-06::Colombia::Honduras,historical_csv,,,,
1996-03-06,Malaysia,India,5,2,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,3.0,7.0,home,True,3.0,0.0,1996-03-06::Malaysia::India,historical_csv,,,,
1996-03-06,Trinidad and Tobago,Haiti,2,0,Friendly,Miami,United States,True,2.0,2.0,home,False,3.0,0.0,1996-03-06::Trinidad and Tobago::Haiti,historical_csv,,,,
1996-03-07,Bolivia,Peru,2,0,Friendly,Santa Cruz,Bolivia,False,2.0,2.0,home,False,3.0,0.0,1996-03-07::Bolivia::Peru,historical_csv,,,,
1996-03-10,Dominica,Antigua and Barbuda,3,3,FIFA World Cup qualification,Roseau,Dominica,False,0.0,6.0,draw,True,1.0,1.0,1996-03-10::Dominica::Antigua and Barbuda,historical_csv,,,,
1996-03-10,Turkmenistan,Kuwait,2,2,AFC Asian Cup qualification,Ashgabat,Turkmenistan,False,0.0,4.0,draw,True,1.0,1.0,1996-03-10::Turkmenistan::Kuwait,historical_csv,,,,
1996-03-12,Cyprus,Latvia,1,0,Friendly,Larnaca,Cyprus,False,1.0,1.0,home,False,3.0,0.0,1996-03-12::Cyprus::Latvia,historical_csv,,,,
1996-03-13,Croatia,South Korea,3,0,Friendly,Zagreb,Croatia,False,3.0,3.0,home,False,3.0,0.0,1996-03-13::Croatia::South Korea,historical_csv,,,,
1996-03-13,Luxembourg,Switzerland,1,1,Friendly,Luxembourg,Luxembourg,False,0.0,2.0,draw,False,1.0,1.0,1996-03-13::Luxembourg::Switzerland,historical_csv,,,,
1996-03-16,Alderney,Guernsey,0,2,Muratti Vase,Alderney,Alderney,False,-2.0,2.0,away,True,0.0,3.0,1996-03-16::Alderney::Guernsey,historical_csv,,,,
1996-03-16,Kuwait,Finland,0,1,Friendly,Kuwait City,Kuwait,False,-1.0,1.0,away,False,0.0,3.0,1996-03-16::Kuwait::Finland,historical_csv,,,,
1996-03-17,Dominica,Saint Lucia,0,1,CFU Caribbean Cup qualification,Roseau,Dominica,False,-1.0,1.0,away,True,0.0,3.0,1996-03-17::Dominica::Saint Lucia,historical_csv,,,,
1996-03-19,United Arab Emirates,South Korea,3,2,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,False,1.0,5.0,home,True,3.0,0.0,1996-03-19::United Arab Emirates::South Korea,historical_csv,,,,
1996-03-20,Egypt,Morocco,0,2,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,True,-2.0,2.0,away,True,0.0,3.0,1996-03-20::Egypt::Morocco,historical_csv,,,,
1996-03-21,Colombia,Trinidad and Tobago,3,0,Friendly,Neiva,Colombia,False,3.0,3.0,home,False,3.0,0.0,1996-03-21::Colombia::Trinidad and Tobago,historical_csv,,,,
1996-03-22,Kuwait,Turkmenistan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,2.0,2.0,home,True,3.0,0.0,1996-03-22::Kuwait::Turkmenistan,historical_csv,,,,
1996-03-22,United Arab Emirates,Egypt,0,0,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,False,0.0,0.0,draw,True,1.0,1.0,1996-03-22::United Arab Emirates::Egypt,historical_csv,,,,
